country,quarter,top5share
PT,2019-Q4,47.44
PT,2020-Q1,46.89
PT,2020-Q2,46.58
PT,2020-Q3,46.59
PT,2020-Q4,46.32
PT,2021-Q1,46.42
PT,2021-Q2,46.44
PT,2021-Q3,46.49
PT,2021-Q4,46.57
PT,2022-Q1,46.37
PT,2022-Q2,45.96
PT,2022-Q3,45.76
PT,2022-Q4,45.91
PT,2023-Q1,46.25
PT,2023-Q2,46.09
PT,2023-Q3,45.9
PT,2023-Q4,46.07
PT,2024-Q1,46.18
PT,2024-Q2,46.11
PT,2024-Q3,46.16
PT,2024-Q4,46.25
PT,2025-Q1,46.03
SI,2010-Q4,32
SI,2011-Q1,31.94
SI,2011-Q2,32.03
SI,2011-Q3,32.49
SI,2011-Q4,32.96
SI,2012-Q1,33.59
SI,2012-Q2,33.46
SI,2012-Q3,34.01
SI,2012-Q4,34.49
SI,2013-Q1,34.75
SI,2013-Q2,35
SI,2013-Q3,35.97
SI,2013-Q4,36.18
SI,2014-Q1,36.66
SI,2014-Q2,37.2
